site,country,inscription date,is the site in danger,removal date,latitude,longitude,area,category,transboundary
Hallstatt-Dachstein / Salzkammergut Cultural Landscape,Austria,1997,No,,47.5594444,13.6463889,28446.2,Cultural,No
Mapungubwe Cultural Landscape,South Africa,2003,No,,-22.1925,29.23889,28168.6602,Cultural,No
Upper Middle Rhine Valley,Germany,2002,No,,50.1736111,7.6941667,27250.0,Cultural,No
Wulingyuan Scenic and Historic Interest Area,China,1992,No,,29.33333,110.5,26400.0,Natural,No
Blue and John Crow Mountains,Jamaica,2015,No,,18.0775,-76.5711111,26251.6,Mixed,No
Petra,Jordan,1985,No,,30.33056,35.44333,26171.0,Cultural,No
"National History Park – Citadel, Sans Souci, Ramiers",Haiti,1982,No,,19.573025,-72.234268,25285.59,Cultural,No
Site of Xanadu,China,2012,No,,42.358,116.1851278,25131.27,Cultural,No
Mount Taishan,China,1987,No,,36.26667,117.1,25000.0,Mixed,No
Alto Douro Wine Region,Portugal,2001,No,,41.1016667,-7.7988889,24600.0,Cultural,No
Chaîne des Puys - Limagne fault tectonic arena,France,2018,No,,45.7793889,2.9651111,24223.0,Natural,No
St Kilda,United Kingdom,1986,No,,57.8172222,-8.5766667,24201.4004,Mixed,No
Cordouan Lighthouse,France,2021,No,,45.5863056,-1.1733333,23582.0,Cultural,No
Mogao Caves,China,1987,No,,40.13333,94.81667,23392.0,Cultural,No
Konso Cultural Landscape,Ethiopia,2011,No,,5.3,37.4,23000.0,Cultural,No
Mount Sanqingshan National Park,China,2008,No,,28.9158333,118.0644444,22950.0,Natural,No
Puerto-Princesa Subterranean River National Park,Philippines,1999,No,,10.1666667,118.9166667,22202.0,Natural,No
Rideau Canal,Canada,2007,No,,44.9943861,-75.765125,21454.81,Cultural,No
Mammoth Cave National Park,United States,1981,No,,37.1872222,-86.1030556,21191.0,Natural,No
Mesa Verde National Park,United States,1978,No,,37.2616667,-108.4855556,21043.0,Cultural,No
The Grand Canal,China,2014,No,,34.6938889,112.4683333,20819.11,Cultural,No
"Fujisan, sacred place and source of artistic inspiration",Japan,2013,No,,35.3608333,138.7275,20702.1,Cultural,No
Historic Town of Banská Štiavnica and the Technical Monuments in its Vicinity,Slovak Republic,1993,No,,48.46111,18.9,20632.0,Cultural,No
Le Colline del Prosecco di Conegliano e Valdobbiadene,Italy,2019,No,,45.9530278,12.2261111,20334.2,Cultural,No
Wadi Al-Hitan (Whale Valley),Egypt,2005,No,,29.33333,30.18333,20015.0,Natural,No
Cornwall and West Devon Mining Landscape,United Kingdom,2006,No,,50.1361111,-5.3836111,19719.0,Cultural,No
Cultural Landscape of Bali Province: the Subak System as a Manifestation of the Tri Hita Karana Philosophy,Indonesia,2012,No,,-8.2591667,115.4027778,19519.9,Cultural,No
Mount Etna,Italy,2013,No,,37.7561111,14.9966667,19237.0,Natural,No
The Persian Qanat,Iran,2016,No,,34.29,58.6544444,19057.0,Cultural,No
Teide National Park,Spain,2007,No,,28.2713889,-16.6436111,18990.0,Natural,No
Carlsbad Caverns National Park,United States,1995,No,,32.1666667,-104.3833333,18926.0,Natural,No
Mount Wutai,China,2009,No,,39.0305556,113.5633333,18415.0,Cultural,No
Wachau Cultural Landscape,Austria,2000,No,,48.3644444,15.4341667,18387.0,Cultural,No
Anticosti,Canada,2023,No,,49.5386111,-63.2452778,18240.0,Natural,No
Mount Nimba Strict Nature Reserve,Guinea,1981,Yes,,7.60318,-8.39097,17540.0,Natural,Yes
Mount Nimba Strict Nature Reserve,Côte d''Ivoire,1981,Yes,,7.60318,-8.39097,17540.0,Natural,Yes
Shirakami-Sanchi,Japan,1993,No,,40.4525,140.1155556,16971.0,Natural,No
Mount Hamiguitan Range Wildlife Sanctuary,Philippines,2014,No,,6.7171694,126.1734306,16923.07,Natural,No
Cultural Landscape of Honghe Hani Rice Terraces,China,2013,No,,23.0932778,102.7799806,16603.22,Cultural,No
Røros Mining Town and the Circumference,Norway,1980,No,,62.5738889,11.3855556,16510.0,Cultural,No
Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,Egypt,1979,No,,29.97604,31.13041,16358.52,Cultural,No
Mount Huangshan,China,1990,No,,30.145333,118.155083,16060.0,Mixed,No
Djoudj National Bird Sanctuary,Senegal,1981,No,1988.0,16.414602,-16.237906,16000.0,Natural,No
"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area",China,1996,No,,29.5449,103.76925,15400.0,Mixed,No
Samarra Archaeological City,Iraq,2007,Yes,,34.3409894,43.8235431,15058.0,Cultural,No
Laurisilva of Madeira,Portugal,1999,No,,32.7666667,-17.0,15000.0,Natural,No
Natural and Culturo-Historical Region of Kotor,Montenegro,1979,No,2003.0,42.48333,18.7,14600.0,Cultural,No
"Assisi, the Basilica of San Francesco and Other Franciscan Sites",Italy,2000,No,,43.0661667,12.6224444,14563.25,Cultural,No
Lednice-Valtice Cultural Landscape,Czech Republic,1996,No,,48.77583,16.775,14320.0,Cultural,No
Chaco Culture,United States,1987,No,,36.0637778,-107.9708333,14261.0,Cultural,No
Volcanoes and Forests of Mount Pelée and the Pitons of Northern Martinique,France,2023,No,,14.8233028,-61.1758611,13980.0,Natural,No
Simien National Park,Ethiopia,1978,No,2017.0,13.1833333,38.0666667,13600.0,Natural,No
Monarch Butterfly Biosphere Reserve,Mexico,2008,No,,19.6063889,-100.2416667,13551.552,Natural,No
Tokaj Wine Region Historic Cultural Landscape,Hungary,2002,No,,48.15,21.35,13255.0,Cultural,No
"The Climats, terroirs of Burgundy",France,2015,No,,47.0580556,4.8644444,13219.0,Cultural,No
Viñales Valley,Cuba,1999,No,,22.61667,-83.71667,13200.0,Cultural,No
Chongoni Rock-Art Area,Malawi,2006,No,,-14.2933333,34.2791667,12640.0,Cultural,No
Ichkeul National Park,Tunisia,1980,No,2006.0,37.16361,9.67472,12600.0,Natural,No
Ancient Villages of Northern Syria,Syrian Arab Republic,2011,Yes,,36.3341667,36.8441667,12290.0,Cultural,No
Garden Kingdom of Dessau-Wörlitz,Germany,2000,No,,51.8425,12.42083,11891.0,Cultural,No
Historic Town of Sukhothai and Associated Historic Towns,Thailand,1991,No,,17.00722,99.78972,11852.0,Cultural,No
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",France,1983,No,,42.3251944,8.6288333,11800.0,Natural,No
Petroglyphic Complexes of the Mongolian Altai,Mongolia,2011,No,,49.3338889,88.3952778,11300.0,Cultural,No
Brasilia,Brazil,1987,No,,-15.78333,-47.9,11268.92,Cultural,No
Costiera Amalfitana,Italy,1997,No,,40.6333333,14.6027778,11231.0,Cultural,No
Vineyard Landscape of Piedmont: Langhe-Roero and Monferrato,Italy,2014,No,,44.6086111,7.9636111,10789.0,Cultural,No
Yakushima,Japan,1993,No,,30.315,130.5086111,10747.0,Natural,No
Australian Fossil Mammal Sites (Riversleigh / Naracoorte),Australia,1994,No,,-19.0833333,138.7166667,10326.0,Natural,No
Budj Bim Cultural Landscape,Australia,2019,No,,-38.0811111,141.8852778,9935.0,Cultural,No
Göreme National Park and the Rock Sites of Cappadocia,Turkey,1985,No,,38.66667,34.85,9883.81,Mixed,No
Deer Stone Monuments and Related Bronze Age Sites,Mongolia,2023,No,,47.7427778,101.2258333,9768.03,Cultural,No
Jeju Volcanic Island and Lava Tubes,Korea,2007,No,,33.4688889,126.7202778,9521.8,Natural,No
Risco Caido and the Sacred Mountains of Gran Canaria Cultural Landscape,Spain,2019,No,,28.0443889,-15.6611944,9425.0,Cultural,No
Lake Malawi National Park,Malawi,1984,No,,-14.03333,34.88333,9400.0,Natural,No
Þingvellir National Park,Iceland,2004,No,,64.2538056,-21.03725,9270.0,Cultural,No
"Ibiza, Biodiversity and Culture",Spain,1999,No,,38.9111389,1.4351944,9020.3,Mixed,No
Sinharaja Forest Reserve,Sri Lanka,1988,No,,6.4166667,80.5,8864.0,Natural,No
"Al-Ahsa Oasis, an Evolving Cultural Landscape",Saudi Arabia,2018,No,,25.4021667,49.6305694,8544.0,Cultural,No
Ajanta Caves,India,1983,No,,20.553111,75.70025,8242.0,Cultural,No
L’Anse aux Meadows National Historic Site,Canada,1978,No,,51.5847222,-55.55,7991.0,Cultural,No
Ogasawara Islands,Japan,2011,No,,27.7183333,142.0997222,7939.0,Natural,No
Gough and Inaccessible Islands,United Kingdom,1995,No,,-40.3247222,-9.9286111,7900.0,Natural,No
Jurisdiction of Saint-Emilion,France,1999,No,,44.8947222,-0.1552778,7847.0,Cultural,No
Dinosaur Provincial Park,Canada,1979,No,,50.7677778,-111.4922222,7825.0,Natural,No
Ancient Thebes with its Necropolis,Egypt,1979,No,,25.73333,32.6,7390.16,Cultural,No
Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,Brazil,2012,No,,-22.9477778,-43.2913889,7248.78,Cultural,No
Droogmakerij de Beemster (Beemster Polder),Netherlands,1999,No,,52.5488889,4.9111111,7208.0,Cultural,No
Cultural Landscape of Old Tea Forests of the Jingmai Mountain in Pu’er,China,2023,No,,22.1841667,100.0075,7167.89,Cultural,No
The Great Spa Towns of Europe,Austria,2021,No,,50.4922222,5.8669444,7014.0,Cultural,Yes
The Great Spa Towns of Europe,United Kingdom,2021,No,,50.4922222,5.8669444,7014.0,Cultural,Yes
The Great Spa Towns of Europe,Italy,2021,No,,50.4922222,5.8669444,7014.0,Cultural,Yes
The Great Spa Towns of Europe,Germany,2021,No,,50.4922222,5.8669444,7014.0,Cultural,Yes
The Great Spa Towns of Europe,Czech Republic,2021,No,,50.4922222,5.8669444,7014.0,Cultural,Yes
The Great Spa Towns of Europe,France,2021,No,,50.4922222,5.8669444,7014.0,Cultural,Yes
The Great Spa Towns of Europe,Belgium,2021,No,,50.4922222,5.8669444,7014.0,Cultural,Yes
Mosi-oa-Tunya / Victoria Falls,Zimbabwe,1989,No,,-17.92453,25.85539,6860.0,Natural,Yes
Mosi-oa-Tunya / Victoria Falls,Zambia,1989,No,,-17.92453,25.85539,6860.0,Natural,Yes
Morne Trois Pitons National Park,Dominica,1997,No,,15.331113,-61.30661,6857.0,Natural,No
Erzgebirge/Krušnohoří Mining Region,Czech Republic,2019,No,,50.4065278,12.8373444,6833.776,Cultural,Yes
Erzgebirge/Krušnohoří Mining Region,Germany,2019,No,,50.4065278,12.8373444,6833.776,Cultural,Yes
Rapa Nui National Park,Chile,1995,No,,-27.074403,-109.365683,6666.0,Cultural,No
Incense Route - Desert Cities in the Negev,Israel,2005,No,,30.5738889,35.0091667,6655.0,Cultural,No
Zuojiang Huashan Rock Art Cultural Landscape,China,2016,No,,22.2555556,107.0230556,6621.6,Cultural,No
Mont-Saint-Michel and its Bay,France,1979,No,,48.63556,-1.51056,6560.0,Cultural,No
Aqueduct of Padre Tembleque Hydraulic System,Mexico,2015,No,,19.8352778,-98.6625667,6540.0,Cultural,No
Trang An Landscape Complex,Vietnam,2014,No,,20.2566667,105.8963889,6226.0,Mixed,No
Pyu Ancient Cities,Myanmar,2014,No,,22.47,95.8186111,5809.0,Cultural,No
Trans-Iranian Railway,Iran,2021,No,,35.6583056,51.3983333,5784.0,Cultural,No
Sangiran Early Man Site,Indonesia,1996,No,,-7.4,110.8166667,5600.0,Cultural,No
Hidden Christian Sites in the Nagasaki Region,Japan,2018,No,,32.8022222,128.9038889,5566.55,Cultural,No
Bagan,Myanmar,2019,No,,21.1488889,94.8844444,5005.49,Cultural,No
"Stonehenge, Avebury and Associated Sites",United Kingdom,1986,No,,51.1788889,-1.8252778,4985.4,Cultural,No
Rjukan-Notodden Industrial Heritage Site,Norway,2015,No,,59.8786111,8.5936111,4959.5,Cultural,No
Cultural Landscape of Maymand,Iran,2015,No,,30.1680556,55.3755556,4953.85,Cultural,No
"Cultural Sites of Al Ain (Hafit, Hili, Bidaa Bint Saud and Oases Areas)",United Arab Emirates,2011,No,,24.0677778,55.8063889,4945.45,Cultural,No
Tsodilo,Botswana,2001,No,,-18.75,21.7333333,4800.0,Cultural,No
"Portovenere, Cinque Terre, and the Islands (Palmaria, Tino and Tinetto)",Italy,1997,No,,44.10694,9.72917,4689.25,Cultural,No
The par force hunting landscape in North Zealand,Denmark,2015,No,,55.9136111,12.3577778,4543.0,Cultural,No
Chankillo Archaeoastronomical Complex,Peru,2021,No,,-9.5568611,-78.2359167,4480.0,Cultural,No
Historic Centre of Oaxaca and Archaeological Site of Monte Albán,Mexico,1987,No,,17.061579,-96.725885,4375.0,Cultural,No
Madriu-Perafita-Claror Valley,Andorra,2004,No,,42.4947222,1.5955556,4247.0,Cultural,No
Group of Monuments at Hampi,India,1986,No,2006.0,15.31444,76.47167,4187.24,Cultural,No
Capital Cities and Tombs of the Ancient Koguryo Kingdom,China,2004,No,,41.1569444,126.1872222,4164.8599,Cultural,No
Rock Carvings in Tanum,Sweden,1994,No,,58.70111,11.34111,4137.609,Cultural,No
Garajonay National Park,Spain,1986,No,,28.12625,-17.2372222,3984.0,Natural,No
Nord-Pas de Calais Mining Basin,France,2012,No,,50.4625,3.5461111,3943.0,Cultural,No
Historic Centre of Saint Petersburg and Related Groups of Monuments,Russia,1990,No,,59.95,30.31833,3934.1,Cultural,No
Henderson Island,United Kingdom,1988,No,,-24.3666667,-128.3333333,3700.0,Natural,No
Evaporitic Karst and Caves of Northern Apennines,Italy,2023,No,,44.3799444,10.3889167,3680.0,Natural,No
"Qhapaq Ñan, Andean Road System",Peru,2014,No,,-18.25,-69.5916667,3642.8067,Cultural,Yes
"Qhapaq Ñan, Andean Road System",Colombia,2014,No,,-18.25,-69.5916667,3642.8067,Cultural,Yes
"Qhapaq Ñan, Andean Road System",Ecuador,2014,No,,-18.25,-69.5916667,3642.8067,Cultural,Yes
"Qhapaq Ñan, Andean Road System",Chile,2014,No,,-18.25,-69.5916667,3642.8067,Cultural,Yes
"Qhapaq Ñan, Andean Road System",Argentina,2014,No,,-18.25,-69.5916667,3642.8067,Cultural,Yes
"Qhapaq Ñan, Andean Road System",Bolivia,2014,No,,-18.25,-69.5916667,3642.8067,Cultural,Yes
Head-Smashed-In Buffalo Jump,Canada,1981,No,,49.7084056,-113.6520528,3626.0,Cultural,No
Prehistoric Sites of Talayotic Menorca,Spain,2023,No,,39.9975,3.9088889,3527.0,Cultural,No
Imperial Tombs of the Ming and Qing Dynasties,China,2000,No,,41.7072222,124.7938889,3434.9399,Cultural,No
Surtsey,Iceland,2008,No,,63.3030556,-20.6022222,3370.0,Natural,No
West Lake Cultural Landscape of Hangzhou,China,2011,No,,30.2375,120.1408333,3322.88,Cultural,No
Blaenavon Industrial Landscape,United Kingdom,2000,No,,51.7763889,-3.0880556,3290.0,Cultural,No
The Slate Landscape of Northwest Wales,United Kingdom,2021,No,,53.1208333,-4.115,3259.01,Cultural,No
Joya de Cerén Archaeological Site,El Salvador,1993,No,,13.8275,-89.3691667,3200.0,Cultural,No
Camino Real de Tierra Adentro,Mexico,2010,No,,22.6080556,-102.3791667,3101.91,Cultural,No
Historic Centre of Mexico City and Xochimilco,Mexico,1987,No,,19.41833,-99.13278,3010.86,Cultural,No
Pitons Management Area,St. Lucia,2004,No,,13.8070833,-61.0703611,2909.0,Natural,No
City of Bath,United Kingdom,1987,No,,51.3813889,-2.3586111,2900.0,Cultural,No
Gyeongju Historic Areas,Korea,2000,No,,35.78889,129.22667,2880.0,Cultural,No
Keoladeo National Park,India,1985,No,,27.1588889,77.5086111,2873.0,Natural,No
Dorset and East Devon Coast,United Kingdom,2001,No,,50.7055556,-2.9898889,2550.0,Natural,No
Antequera Dolmens Site,Spain,2016,No,,37.025,-4.5444444,2446.3,Cultural,No
Archaeological Sites of the Island of Meroe,Sudan,2011,No,,16.9333333,33.7166667,2357.36,Cultural,No
City of Potosí,Bolivia,1987,Yes,,-19.599112,-65.749813,2211.0,Cultural,No
Las Médulas,Spain,1997,No,,42.46939,-6.77075,2208.2,Cultural,No
Historic Town of Guanajuato and Adjacent Mines,Mexico,1988,No,,21.01694,-101.25556,2167.5,Cultural,No
The Great Wall,China,1987,No,,40.41667,116.08333,2151.55,Cultural,No
Taputapuātea,France,2017,No,,-16.8414,-151.3723778,2124.0,Cultural,No
Palaces and Parks of Potsdam and Berlin,Germany,1990,No,,52.4,13.0333333,2064.0,Cultural,No
Pre-Hispanic Town of Uxmal,Mexico,1996,No,,20.3616667,-89.7702778,2059.8,Cultural,No
Aranjuez Cultural Landscape,Spain,2001,No,,40.03645,-3.60934,2047.5601,Cultural,No
Rock Art in the Hail Region of Saudi Arabia,Saudi Arabia,2015,No,,28.0105556,40.9130556,2043.8,Cultural,No
Great Mosque and Hospital of Divriği,Turkey,1985,No,,39.371271,38.121826,2016.0,Cultural,No
Canal du Midi,France,1996,No,,43.6113889,1.4163889,2007.0,Cultural,No
Rock Shelters of Bhimbetka,India,2003,No,,22.9277778,77.5833333,1893.0,Cultural,No
Royal Tombs of the Joseon Dynasty,Korea,2009,No,,37.1972222,128.4527778,1891.2,Cultural,No
Pre-Hispanic City and National Park of Palenque,Mexico,1987,No,,17.48333,-92.05,1772.0,Cultural,No
"Bordeaux, Port of the Moon",France,2007,No,,44.8388889,-0.5722222,1731.0,Cultural,No
Ouadi Qadisha (the Holy Valley) and the Forest of the Cedars of God (Horsh Arz el-Rab),Lebanon,1998,No,,34.2538889,36.9511111,1720.2,Cultural,No
Tarnowskie Góry Lead-Silver-Zinc Mine and its Underground Water Management System,Poland,2017,No,,50.4426972,18.8512278,1672.76,Cultural,No
Site of Palmyra,Syrian Arab Republic,1980,Yes,,34.5541667,38.2666667,1640.0,Cultural,No
Hegra Archaeological Site (al-Hijr / Madā ͐ in Ṣāliḥ),Saudi Arabia,2008,No,,26.7836111,37.955,1621.2,Cultural,No
Sacred Mijikenda Kaya Forests,Kenya,2008,No,,-3.9319444,39.5961111,1538.0,Cultural,No
Prehistoric Caves of Yagul and Mitla in the Central Valley of Oaxaca,Mexico,2010,No,,16.9508333,-96.4211111,1515.17,Cultural,No
Australian Convict Sites,Australia,2010,No,,-33.3783333,150.9944444,1502.51,Cultural,No
Aflaj Irrigation Systems of Oman,Oman,2006,No,,22.9988889,57.5360556,1455.949,Cultural,No
Archaeological Ruins of Liangzhu City,China,2019,No,,30.3955556,119.9908333,1433.66,Cultural,No
Archaeological Site of Aigai (modern name Vergina),Greece,1996,No,,40.47139,22.31833,1420.81,Cultural,No
Chan Chan Archaeological Zone,Peru,1986,Yes,,-8.107836,-79.074737,1414.57,Cultural,No
Sanctuary of Asklepios at Epidaurus,Greece,1988,No,,37.6,23.0805556,1393.8,Cultural,No
Stari Grad Plain,Croatia,2008,No,,43.1816667,16.6386111,1376.53,Cultural,No
"Levoča, Spišský Hrad and the Associated Cultural Monuments",Slovak Republic,1993,No,,48.9994444,20.7675,1351.2252,Cultural,No
Champaner-Pavagadh Archaeological Park,India,2004,No,,22.4833333,73.5333333,1328.89,Cultural,No
Landscape of Grand Pré,Canada,2012,No,,45.1183333,-64.3072222,1323.24,Cultural,No
Landscape for Breeding and Training of Ceremonial Carriage Horses at Kladruby nad Labem,Czech Republic,2019,No,,50.05665,15.4842583,1310.0,Cultural,No
Schokland and Surroundings,Netherlands,1995,No,,52.6386111,5.7716667,1306.0,Cultural,No
Derwent Valley Mills,United Kingdom,2001,No,,53.0288889,-1.4880556,1228.7,Cultural,No
Isole Eolie (Aeolian Islands),Italy,2000,No,,38.4878611,14.9455833,1216.0,Natural,No
"Royal Building of Mafra – Palace, Basilica, Convent, Cerco Garden and Hunting Park (Tapada)",Portugal,2019,No,,38.9371667,-9.3255278,1213.17,Cultural,No
Koh Ker: Archaeological Site of Ancient Lingapura or Chok Gargyar,Cambodia,2023,No,,13.7830556,104.5372222,1187.61,Cultural,No
Fortifications of Vauban,France,2008,No,,47.2361111,6.0269444,1153.16,Cultural,No
Samarkand  – Crossroad of Cultures,Uzbekistan,2001,No,,39.66861,67.0,1123.0,Cultural,No
Medina of Marrakesh,Morocco,1985,No,,31.63139,-7.98667,1107.0,Cultural,No
Historic Centre of Prague,Czech Republic,1992,No,,50.08972,14.41944,1106.36,Cultural,No
Writing-on-Stone / Áísínai’pi,Canada,2019,No,,49.075,-111.6333333,1106.0,Cultural,No
Wieliczka and Bochnia Royal Salt Mines,Poland,1978,No,1998.0,49.9791667,20.0638889,1104.947,Cultural,No
"Champagne Hillsides, Houses and Cellars",France,2015,No,,49.0775,3.9461111,1101.72,Cultural,No
Monte San Giorgio,Italy,2003,No,,45.8888889,8.9138889,1089.34,Natural,Yes
Monte San Giorgio,Switzerland,2003,No,,45.8888889,8.9138889,1089.34,Natural,Yes
Hierapolis-Pamukkale,Turkey,1988,No,,37.92389,29.12333,1077.0,Mixed,No
Palace and Park of Versailles,France,1979,No,,48.805,2.1194444,1070.0,Cultural,No
Gordion,Turkey,2023,No,,39.6433333,31.9861111,1064.0,Cultural,No
"Historic Monuments of Ancient Kyoto (Kyoto, Uji and Otsu Cities)",Japan,1994,No,,34.9805556,135.7694444,1056.0,Cultural,No
Babylon,Iraq,2019,No,,32.5419694,44.4208333,1054.3,Cultural,No
Historic Centre of Naples,Italy,1995,No,,40.8513889,14.2627778,1021.0,Cultural,No
The Sassi and the Park of the Rupestrian Churches of Matera,Italy,1993,No,,40.6663889,16.6102778,1016.0,Cultural,No
"Mines of Rammelsberg, Historic Town of Goslar and Upper Harz Water Management  System",Germany,1992,No,,51.82,10.34,1009.89,Cultural,No
Landscape of the Pico Island Vineyard Culture,Portugal,2004,No,,38.5134444,-28.5411667,987.0,Cultural,No
Cultural Landscape of Sintra,Portugal,1995,No,,38.78333,-9.41667,946.0,Cultural,No
Archaeological Area of Agrigento,Italy,1997,No,,37.2897222,13.5933333,934.0,Cultural,No
Petroglyphs of the Archaeological Landscape of Tanbaly,Kazakhstan,2004,No,,43.8033333,75.535,900.0,Cultural,No
Syracuse and the Rocky Necropolis of Pantalica,Italy,2005,No,,37.05944,15.29306,898.46,Cultural,No
"Lavaux, Vineyard Terraces",Switzerland,2007,No,,46.4919444,6.7461111,898.0,Cultural,No
Chief Roi Mata’s Domain,Vanuatu,2008,No,,-17.6280694,168.1777194,886.31,Cultural,No
The Ancient Town of Si Thep and its Associated Dvaravati Monuments,Thailand,2023,No,,15.4658167,101.1511139,866.471,Cultural,No
Land of Frankincense,Oman,2000,No,,18.25333,53.64759,849.88,Cultural,No
"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",Cambodia,2017,No,,12.8725,105.0430556,840.03,Cultural,No
Historic Monuments of Dengfeng in “The Centre of Heaven and Earth”,China,2010,No,,34.4587472,113.0677194,825.0,Cultural,No
Frontiers of the Roman Empire – The Danube Limes (Western Segment),Slovak Republic,2021,No,,48.1151944,16.8613889,821.7461,Cultural,Yes
Frontiers of the Roman Empire – The Danube Limes (Western Segment),Germany,2021,No,,48.1151944,16.8613889,821.7461,Cultural,Yes
Frontiers of the Roman Empire – The Danube Limes (Western Segment),Austria,2021,No,,48.1151944,16.8613889,821.7461,Cultural,Yes
Town of Luang Prabang,Lao PDR,1995,No,,19.88889,102.13333,820.0,Cultural,No
Frontiers of the Roman Empire – The Lower German Limes,Germany,2021,No,,52.1803333,4.433,812.75,Cultural,Yes
Frontiers of the Roman Empire – The Lower German Limes,Netherlands,2021,No,,52.1803333,4.433,812.75,Cultural,Yes
Monticello and the University of Virginia in Charlottesville,United States,1987,No,,38.0327778,-78.5038889,795.96,Cultural,No
Soltaniyeh,Iran,2005,No,,36.43528,48.79667,790.146,Cultural,No
Tusi Sites,China,2015,No,,28.9986111,109.9669444,781.28,Cultural,No
Brú na Bóinne - Archaeological Ensemble of the Bend of the Boyne,Ireland,1993,No,,53.6946944,-6.4755,770.0,Cultural,No
Historic Areas of Istanbul,Turkey,1985,No,,41.00847,28.97993,765.5,Cultural,No
Sukur Cultural Landscape,Nigeria,1999,No,,10.74056,13.57194,764.4,Cultural,No
Hill Forts of Rajasthan,India,2013,No,,24.8833333,74.6461111,736.0,Cultural,No
Great Zimbabwe National Monument,Zimbabwe,1986,No,,-20.2833333,30.9333333,722.0,Cultural,No
The Persian Garden,Iran,2011,No,,30.1666667,53.1666667,716.35,Cultural,No
"Jaipur City, Rajasthan",India,2019,No,,26.9242778,75.8218611,710.0,Cultural,No
Archaeological Monuments Zone of Xochicalco,Mexico,1999,No,,18.803972,-99.29639,707.65,Cultural,No
Historic Centre of Puebla,Mexico,1987,No,,19.045967,-98.197769,690.0,Cultural,No
Joggins Fossil Cliffs,Canada,2008,No,,45.7097222,-64.4358333,689.0,Natural,No
Silk Roads: Zarafshan-Karakum Corridor,Tajikistan,2023,No,,39.4414889,69.6855583,669.679,Cultural,Yes
Silk Roads: Zarafshan-Karakum Corridor,Turkmenistan,2023,No,,39.4414889,69.6855583,669.679,Cultural,Yes
Silk Roads: Zarafshan-Karakum Corridor,Uzbekistan,2023,No,,39.4414889,69.6855583,669.679,Cultural,Yes
Pythagoreion and Heraion of Samos,Greece,1992,No,,37.69083,26.94333,668.35,Cultural,No
M''Zab Valley,Algeria,1982,No,,32.48333,3.68333,665.03,Cultural,No
Ephesus,Turkey,2015,No,,37.9291667,27.3594444,662.62,Cultural,No
Thracian Tomb of Sveshtari,Bulgaria,1985,No,,43.66667,26.66667,647.6,Cultural,No
Sassanid Archaeological Landscape of Fars Region,Iran,2018,No,,29.7774806,51.57045,639.3,Cultural,No
Srebarna Nature Reserve,Bulgaria,1983,No,2003.0,44.11444,27.07806,638.0,Natural,No
Sacred City of Caral-Supe,Peru,2009,No,,-10.8916667,-77.5213889,626.36,Cultural,No
Historic Monuments of Ancient Nara,Japan,1998,No,,34.6755556,135.8394444,617.0,Cultural,No
"Mountain Resort and its Outlying Temples, Chengde",China,1994,No,,40.98694,117.93833,611.2,Cultural,No
"Cueva de las Manos, Río Pinturas",Argentina,1999,No,,-47.15,-70.6666667,600.0,Cultural,No
Historic Villages of Korea: Hahoe and Yangdong,Korea,2010,No,,36.5391667,128.5166667,599.6,Cultural,No
Žatec and the Landscape of Saaz Hops,Czech Republic,2023,No,,50.3202778,13.62,593.97,Cultural,No
Humberstone and Santa Laura Saltpeter Works,Chile,2005,No,2019.0,-20.20582,-69.79406,573.48,Cultural,No
Bergpark Wilhelmshöhe,Germany,2013,No,,51.3158333,9.3930556,558.7,Cultural,No
Villages with Fortified Churches in Transylvania,Romania,1993,No,,46.1358333,24.7730556,553.0,Cultural,No
Ironbridge Gorge,United Kingdom,1986,No,,52.6263889,-2.4727778,547.9,Cultural,No
Cahokia Mounds State Historic Site,United States,1982,No,,38.6586111,-90.0613889,541.0,Cultural,No
Gobustan Rock Art Cultural Landscape,Azerbaijan,2007,No,,40.125,49.375,537.22,Cultural,No
Quanzhou: Emporium of the World in Song-Yuan China,China,2021,No,,24.7102778,118.4441667,536.08,Cultural,No
Historic City of Ahmadabad,India,2017,No,,23.0263889,72.5880556,535.7,Cultural,No
Iwami Ginzan Silver Mine and its Cultural Landscape,Japan,2007,No,,35.1127778,132.435,529.17,Cultural,No
Frontiers of the Roman Empire,Germany,1987,No,,54.9926111,-2.601,526.9,Cultural,Yes
Frontiers of the Roman Empire,United Kingdom,1987,No,,54.9926111,-2.601,526.9,Cultural,Yes
Historic Cairo,Egypt,1979,No,,30.05,31.26111,523.66,Cultural,No
"Nice, Winter Resort Town of the Riviera",France,2021,No,,43.7016944,7.2723056,522.0,Cultural,No
Diyarbakır Fortress and Hevsel Gardens Cultural Landscape,Turkey,2015,No,,37.9031,40.2393083,521.23,Cultural,No
Chengjiang Fossil Site,China,2012,No,,24.6688889,102.9772222,512.0,Natural,No
Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,Japan,2004,No,,33.8369444,135.7763889,506.4,Cultural,No
Archaeological Site of Carthage,Tunisia,1979,No,,36.85278,10.32333,498.08,Cultural,No
